city,company_name,category,job_title,qualified,tech_compatible,major_compatible,app_link,indeed_link,description
Seattle,TMP Worldwide,data+analyst,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWJVQZQRlj7F35SiWurA4XqJek1jfpeLStdBAX2B41uaqXsxBvPqkQGtIR0vhE5E752ojzOP-qwZmTbvEYLN95VEdeSi-ZuYpZfQI3ANricJ2hr7s_hDF9YaDT_Eqas6FUuys9bEVxf60INuuj-f3v0yP_T7rDvmcgV2l94vPXYapFGiSFONgKNWHg8G3_0jMyztx3jQ0NuNwjhr9JbOgFxsThEJNxW1W77LFX4bPfSY5mA14H1p0rrLf9UAkHriF7y-wS0JAHaLevqlULfwBBjGrHeu6JcGDu2LrXp3tQiCarXdcnDGWlRqP1vAc-EcECRkG0otH_nzYb2UuUou09RWKGCPVuzlM9FWd_X_RILBnIwgPenYgeohNnOMFXy30_P251McgULzE_FhYuUcytGyM1tEO3zgRxXDb7Vz_kQ3OXZ3xPIiGkRJ_BV5T58ZVSjIhHlL8N0VOMvLZnWxa2dcg9_dxgMgCqKD1oPzMkASrFrbd7Atobk9YIyjLSGE3RmWTt6MvklKAy6c7QJBptggPE7jdrRt72696eZ_ZPKf4IJ41lpTTcF8ak8ZV2ToUE6AjOpPwQFaC4QE1seLv1Rc3I26CgRmxDOIaRkCVYgrS9LcodIHUKqwANtLNkBnNGc8PYmbozL-7G409FXk6SVkuQSeDFFKigC579vtzEvovC0Rw2oFmk_1rLCdy_piyWcvoDhzMeoFwHFok8yIVm6BRtLxj1IybeNG9ogalbZyQw5aV4BEmOY2ByYcV2x86ADHMEAGUDjgMzXcBMCunzv5a4tcYIdQQmLt7eJs89S-d3glNs31kpm0Yoq1pw0fgCLNRPo6bIFWvd4aHdKGB99GWhKcZkENNiHioT2PDy307zEO6T9gUR3sHYII2SnR3L9abyVKyc5HORU0-H7MpDkR096XvL9whbBFqfKBsF0FV6ajtujxO6PRVgZ-L1EVrEoo0NZ0c44eQJPwdpg8Cf9YgKT5e4IE6Al8_EkpiYVmFUzF7fmlTMfM8bKHXF2NeVaVL_LiaZLw==&p=1&fvj=0&vjs=3,invalid URL
San+Francisco,TMP Worldwide,data+analyst,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWJVQZQRlj7F35SiWurA4XqJek1jfpeLStdBAX2B41uaqXsxBvPqkQGtIR0vhE5E752ojzOP-qwZmTbvEYLN95VEdeSi-ZuYpZfQI3ANricJ2hr7s_hDF9YaDT_Eqas6FUuys9bEVxf60INuuj-f3vK2ZJ8GdoaP9ZucEGAcUz5KPOFRLVLhXAY-tvZGT6WQ53EZyKgv2DS6Tq0mVn5OAYWZ7iDhcqlfmk3Z-BApdD3LPjQIUF6TciSOy96wUl-qn3lAyQNpCLjVUm4Sl-7AscH1A4d5NF5et4ZCnlR4gf9yOERevW7MGEj68h-4Uwrd4lO7VNeLnOxdp4sEynfE_iOxi2FJ-Jv7T0YQr_8FRwrj-AAZHSv8ZgNJkrWYN818N59Q1JK8qq2IjZTR8iEgvs5NBKkRfwQJoKv40W_emYFQqfyrKvJmZaa5cdNbWM8pJoEJ18K6cyX0f5vr4mLmOXq8S_AZL7X4GA62aDovVIf_g0NMAq9WeMWaP2bopkSL-r8P4eerCR0ehi9riFNYKm5jTIZ8pnDPXdlNhfcm5kSt8jEE_GhhytHiLWtwsJ0LSajCdwI9BTGTY2cwgWfrnXfhAUHAxzST7JrjDiProCNfx5WOZgl1aBfPeWgDBcIY2GotLEDLfL8aujQTprAlxcF9BvVu4mTYalf2slVDppnmKVqjyh7q_gGtrtcslbH2wSe-qujErsEkCUJEVfF7F4sp76Pl7OnrOtjAgmzq8_LbKdy-fJxZ08IJ-_GbtUoknT9hGP7tH5SHsDWF2niVMy22hzf93FBz3MHIKBk7111Li6Z3ADCGCv2rKfw-VGDLFw4BiFpTG7R8XHDd7pf1rZr_uAu47puivHsX5wwf4pkqOnx4mY4Xx0tJnY4ABi4UpKMsKoLE1Eysh9jAi_OxVqv0oNgXiTJZCLGVW5RwHkAiEqj8-Runp95bVVn9Co5rpv3-MV50cRnMkyPhdV97sXTb9va-jKdmUm41vDQ7P5fLPEBT68v3PrKAcK7RWeNqLDUQkOp-JZKg==&p=2&fvj=0&vjs=3,invalid URL
New+York,TMP Worldwide,data+analyst,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWJVQZQRlj7F35SiWurA4XqJek1jfpeLStdBAX2B41uaqXsxBvPqkQGtIR0vhE5E752ojzOP-qwZmTbvEYLN95VEdeSi-ZuYpZfQI3ANricJ2hr7s_hDF9YaDT_Eqas6FUuys9bEVxf60INuuj-f3v70jJguMJpFONSfFh76vWGPQmIP9aFSZJbaE-wHlX55EA83-f3UQW0Au5r8m1zVqXL7ungfz8gPUfWOJc1W4VwW8QHrDEc1yC8phhre2DsLn8oEt6l_eYEcwROhgS7Ny9EjCvXn18Hdr1UgSmqUhyQ2iJW7ct-6ArNDM-7sgJL6TogVQ6PZdB7JSkyTBca7HtVkcvNoLMQKTpSdgYe2NCOP0bCS_nYWgDeb19E3OBdlemC8VRbi8GniaaW-qtFX26Utnifc8JcTtucrH7w_Pd_ahKZfKpleQxoZkE2cjeAPcdDk-37nikm4u3kP-jH2PeNbZTdhlubWU-T3lTf0N9JRrn_dgdZhoYdldS9PtKOn_w8pYg-5kGT29Q9yCss3UVNmfSVIZTao8fIprqa6pu2Aex78rCTlo9yEDq4HrlHyGjf6QutRf5nohixibrdjgdykE-CFBvcTPpbG6Qp75dcQ8FFpPTb_AC4g5QNaxHtbSRlIw1oAkNb89mKx-bB2skhEOq6aZGwbiuRH6drsbwkBSXWdygkJhL6WuLmb_HVHtaYXNrAauffXliRA_NzY-7gnpwpynl4uL3xBqsrHEfSiqrjMzwYRqdz2ttk_GegmmbxsUtabXgPr1P_S300welUxHedHbtRDnV5uTqyAgrIu_IBKGQDU9zveDsTDHlgVe9tFvwZH_KBdqmh6ySm0QIedd3MtiNy-oNC2Ra5NHVebpsM0SR--rkdDvNr3e7Z1k6OqDdb7zxOjwOXboETNoVpVaohA45c9acaAzaOqfXPH1_IvNoSpkNufcu6KAPiyTKEXYGQhBmQBBUTCgf0pHXzUj4R2rXuex06AwfqdWneltxRuPKoh9w83XhEGH5vno4oquB8JfmQw==&p=0&fvj=0&vjs=3,invalid URL
Los+Angeles,UCLA Health,data+analyst,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsE7ViekIsjp64t_8fXghHOV1s5s2e0k6cDP9wEyz_6tOierAtAOrZ9WCDC2rRvrOvwF1o9Yxrhwz9Nz8EkArDuJyAuXR66ZTUuC7dvpiQ6MLG5gjgola0ByKOydgYJTPt7Oo8mRApbEKXse71OIBKrLaCmnXsXQsvK4gfxfKSFW5wFAxB2Zz4GSFLobYzLGDcYHkV5cxflGg7xB0ppD-6HYdKiBT40f5K2lmt34ut6e2Rwwhqr8b_0p-UNC_mboLz3UY3PA1pfgrhCk9f1dlwliqwdaaYQOvxeqbQvoeXqtUFk5bprhsAx_4RQWkw-oTWE2ZS2adoHJgrM-6zdWhaAlclzlNmxvyDJMbhh2k6jQcvImnAJINU6On5n_r-SlGYsmRkgk8DbDOTH-UtFPj-NFlHnt6FReYm4K3jHR8INa4zrA0fLxa3QIJMXHqJxD-KRNPa0RPL4NJsTwk_QIC0t9m3iurx7VPhHz4V_zDPbVP_oFVdmdXE7obD29q25mSYvNdTOFrWihOkMQVETYs2WurY4YB-TMhAGCFFPSFf2AkVDOUCh9NmgfeYdXDAzT6PZO0_YxJ2rqgiq-GpVtEgoRNb2sduOam65LN27KPMGN0C4SJSjbkOamv8arBRW7Dvz1Slh5yq7p-AX3lMxta3E-Hwu_FC299QM1rR1TSVEJ1lbWReFrZijHZaUFLuvQKJfx2LdKUncTdwerX09GOOmiIECJ23-C3O7PLN7xfpGHKMoAzBoZNLBoi2iywTsHo6U5EYb-iArR9gE-sNLHymzR2SCc8TkrNGPgtJUf-OmXx_nt-qt790JFSP3qYra8eO3QuuzWYAGEqwz9se3lsivtTa355p9mYjsJl2bgtR33KPUbVBDLbL-5IdPQyT47FIyGjc7zsHcEMQmd3Re7LU8URDtZQzDwWu3z3E2DmviKYamIkTI7_TPlElIWk21-CFLzrOanQ16RsmNZ9xdoae2NHQiGQ2U2R649M5wmPbZjd1pv-jyzH2UNvlF8jBKGh6zaVnrTL2VjPVYCmCdKFhsxnIvi1dLHVsYtP-jLbjelH8RslaW90Xofc-_raBp2zTlZHVkIkJ-w==&p=1&fvj=0&vjs=3,invalid URL
Los+Angeles,TMP Worldwide,data+analyst,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWJVQZQRlj7F35SiWurA4XqJek1jfpeLStdBAX2B41uaqXsxBvPqkQGtIR0vhE5E752ojzOP-qwZmTbvEYLN95VEdeSi-ZuYpZfQI3ANricJ2hr7s_hDF9YaDT_Eqas6FUuys9bEVxf60INuuj-f3vp6OruVhBKgQTDo6W0ds86up9J4SE5Oohs8Nea9IjCLqXqDCwQ7TXGhbHbTlwV330NL_KRRH4tv5MObJfdVD5n3uGU2dClASef9dhr-QtcWutp0dJHx0_F7D0NABZTN-Msd0fFMHrkP-R3yrTLz1prXfunU0otDhHYZrZH9jLehHVYA8EQggnUtvYaSF3SZk6WIeUjFcAiOduSbPkDnxJHnupYJ15ETtJewYANKD6ifocWfkYqTarnBzdNpqVWPIyxVClYYh_y--pkCXVyse2hQ-VTAPu1TxhSPw7WOKrxKVvGrbEp38MPjcgkLI-2sH7gZSXCi0lGF3tiUFkJGBhirK8JSmEnn_SlUeo4ML8rIZflrW329meqpzjN9HckvevyFze7XM8CzzO1ayDvweukhpfKp2yaOIe-_BEN5bXYwXrZpL8VrsZg6gNnrh2uGh__oSfbgD5osL-qMm1V0b0NeM98QLqICSEY6EuoKBHhLm4VpBOxCz7C395dfS_bHYAXjZr5M1lqZb7t_UKwe18bQIRroh6-vAAuStgZeeFkgIny-_XBncMjmgNH6RfJYxT8z4_u5sFT7yVCszO-F4zcs4C1JQ6BGEWGgqYHuKQkoBMvawqxpPah7rnVWgZxv3k60bSkAhAXmPU3BC8pD1M1N_cYOmOyLj_W-s6GxrGoB1JopxUyjgG1kUpPcFcUA3pz1Zl8BhP3nT4vUd5eGwA4Rc7T7Cw_GeUXeGoCJtI9L05iNxzxrnHjQ7v4Y1EFRtKiFrGHNkJHT1w8n546Zpzc0tEADZdZkuvxKiYwTyB0c4pCUWuSKdtXUldjxHahjt_oeWperlQ1oTUG8FF_6JoRmdltzHzTM9Ezfr0OcHYkOYLK4Y7G1-PKA==&p=3&fvj=0&vjs=3,invalid URL
Boston,TMP Worldwide,data+analyst,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWJVQZQRlj7F35SiWurA4XqJek1jfpeLStdBAX2B41uaqXsxBvPqkQGtIR0vhE5E752ojzOP-qwZmTbvEYLN95VEdeSi-ZuYpZfQI3ANricJ2hr7s_hDF9YaDT_Eqas6FUuys9bEVxf60INuuj-f3vFkd3qx6uir2oUmR1OmoYKhtgpGcK5_uvY7CwtWUePcsWu0ozKVrvgWyfS9f3Oh-02YjqiCLp9Meg9EsZ7uLhK68HXnNIZV9TdaaJ9k4tNixQvzUN5ngw7lgRafDKZUuNmP-hfTgWpGFPUjZ63KgLZp3e0_c0lwvomt-vPaPTLf6QO4qj4HhPD6kiVhOBTDt80vESwuCup3ShDIUPJCnjkbqI9mPeglMD8TFPx2Pj_c2OpZIor7yVE0Quo7DWHDLpQUIQLOd3ZaEUAv82aTa7cJ92_Bd31M7TxHkQmFPtFBtJ2u4RvkCPfmLacTanzRDrwcLUMAnW4hseyrPk05FTiWzsP9NnvfpikBIZVZjcWHwnFq9Ul85KgUViAgl_Vty_fUaLUBkSExB3P888lCJkecX-pvAcx4OhfgQR3LVSvTcjBgpQO_ihMGlwXquycT3e9OUDSSOJKlykaSZkzymjtNH26yAC3_6jxgPbrSbWmh-Jfawss73Hks2aBUCUzviq-F3jMhUTseUtUeKFB5kcdsjMTFPtkR7pMze5PKR3Yoo9x_fyNEsX5SNClGMAd7JAkz05cekxSu_NkqN-VSSmjXk4Eg6o9sq_yJ80yVJf2f21u6QvMHN_hf3bmoysXIUJnQnpWIb3Mmo19G8v6raADKVXn_GOuIm3FzpT1OgJlXvS-QA8xvlT-39ooXA_KtiVEGYPj23H2cUolONoGuwzXrGxZpKAb-np9wLTNcf_6ZYfS9nDqW2x5rZmIvkXkSkQ-T6rcadnD0To0SFw3dLPwBr3qHkxSbnLxk6yQytNH6EHeHG17Ew0UZpXstSKs5HWR_FJt39AdyCFFzVeIPISF8uKSE3tG2zAyjMG7Lzo6qg=&p=1&fvj=0&vjs=3,invalid URL
Seattle,PATH,data+analyst,Policy Analyst (Temporary),Need YOE,True,True,https://www.indeed.com/rc/clk?jk=1716db8c221c4e20&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiJk_A-4sVd3ndLk6ZP3OB1wsdLqiuaGy5Gw05HfKNzLw&astse=b6fc1e2fadc1712d&assa=6657,https://indeed.com/rc/clk?jk=1716db8c221c4e20&fccid=88e380af575ae18a&vjs=3,"PATH is a global organization that works to accelerate health equity by bringing together public institutions, businesses, social enterprises, and investors to solve the world’s most pressing health challenges. With expertise in science, health, economics, technology, advocacy, and dozens of other specialties, PATH develops and scales solutions—including vaccines, drugs, devices, diagnostics, and innovative approaches to strengthening health systems worldwide. The Health Systems Innovation and Delivery (HSID) program within PATH focuses on the health system, including cross cutting elements of the system that delivers health services and assures health for individuals or communities. This work includes robust analyses to guide the design and implementation of: ) cross cutting health system innovations to improve health system performance, ) cross cutting health system adaptations to better assure successful adoption and scale of specific product disease prevention innovations, ) technical assistance to strengthen overall health system integrity and resilience, and ) strategies to better integrate the effective delivery of services across health and disease categories PATH is seeking a data analyst with expertise in quantitative statistical analysis as well as experience in policy analysis. Ideally this person would also have qualitative research skills and a familiarity with health systems and policymaking in order to interpret observed quantitative data. This person will support a body of work and be a key member of a cross organizational team with the goal of developing an interactive set of data visualization dashboards, policy briefs, and other user friendly content to track government responses to maintaining essential health services during COVID . Responsibilities: Basic statistical analysis of coded policy data, other national level variables (e.g. COVID cases, etc.), and survey data, potentially in multivariate regression models. Familiarity with R, Stata, or other statistical analysis softwares desired. Clean, manage, and process datasets as required, with the support of data science interns. Contribute to qualitative content analysis of policy documents; synthesis of data across multiple documents or countries to support the identification of novel insights, policy adaptations, or gaps in national COVID responses Support the writing of technical and advocacy reports based on qualitative and quantitative analysis of policy data, as well as journal commentaries or articles. Liaise with key users and stakeholders ( Gates Foundation, WHO, Unicef, etc.) under the leadership of the Lead Analyst and Project Coordinator Prepare slide decks for meetings Collaborate with advocacy and communications colleagues to develop and implement iterative dissemination and knowledge translation plans, engaging frequently with key global and regional/national partners Required Skills Required Experience MPH or similar degree related to global health, public policy, or health systems Expertise in quantitative and qualitative analysis Familiarity with MNCH preferred; other health area expertise welcome"
Seattle,Outdoor Research LLC,data+analyst,Data Analyst,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=b3a1f4424d3919e4&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXi_3upHRX6BiqRe9oRHXr2RIv02HSGSZoWequxOEmCHqw&astse=c3ba4198d94d2042&assa=6073,https://indeed.com/rc/clk?jk=b3a1f4424d3919e4&fccid=93f260bd139514bc&vjs=3," About this role We are looking for an experienced Data Analyst. In this role you will be responsible for using large, and sometimes disparate, data sets from many sources to aggregate useful and actionable information. This information will inform business leaders on strategic decisions based on historical trends and future modeling. You will use your mathematical skills to break down complex information into executive level reports. What you will do Support the business with data analysis with an emphasis on production analytics Build reports to track financial performance Look for trends in production output, contribution of individuals and teams and factors that may be hindering or improving output Be vigilant about quality inspection data, and pinpoint problems should they arise Ensure that data are correctly collected, and sufficient information is accumulated Ask questions of the data to find answers to questions that have not been asked Use your creativity, curiosity and self motivation to look for suggestions that could be helpful to the business. What you should bring to the table years experience in Data Analytics Advanced Degree in Industrial Engineering, Mathematics or Economics Experience with VBA coding Strong Curiosity for finding answers to questions that are deeper than the initial ask Ability to follow data trail in the direction it will take Experience with incentive pay structure is preferred Ability to work in a multi lingual environment Excellent written and oral communication skills, with the proven ability to explain complex information in easy to understand terms. Ability to partner across the organization at all levels. Must possess excellent organizational skills, with the ability to multi task, maintain proper focus and pay excellent attention to detail. Self motivated and directed. Proficiency with Microsoft Excel required. What do we bring to the table? paid holidays each year and floating holidays Transportation benefits PTO and sick/safe time Paid volunteer time Comprehensive medical, dental and vision plans K with company match Product discounts"
Seattle,Milliman,data+analyst,Healthcare Data Analyst,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=8cb7e22cc5853566&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXj7z7XawWTvlgArNSyVPggW-BhdrQogdzP3xc9-PmOQTQ&astse=346161b53065e234&assa=6280,https://indeed.com/rc/clk?jk=8cb7e22cc5853566&fccid=3d93143c99ff89a3&vjs=3," Job Details Description Milliman's Seattle Health Practice provides consulting services to clients in the healthcare industry including health plans, government payers, providers and reinsurers. We are looking for data analysts to work with health care consultants and consulting actuaries in the development and use of data models for various purposes, including pricing and forecasting. This position provides excellent opportunities for professional growth in the healthcare consulting field. Who We Are: Milliman’s Seattle Health Practice serves a wide variety of organizations, including insurance companies, health plans, state and federal agencies, healthcare providers, reinsurance companies, and employers. The staff consists of + actuarial professionals in addition to health care consultants, IT, administrative, and other non actuarial staff. Responsibilities: Analyzing data and producing reports using spreadsheets and databases Drafting written reports and other correspondence Reviewing the work of others as part of Milliman's commitment to high quality work Assisting with research and marketing projects Preferred skills: Willingness and aptitude for detailed work Strong organizational skills and ability to manage multiple projects and deadlines Experience working with large healthcare datasets, especially medical claims and related financial data Prior data analytics internship(s) or related work experience is a plus Working knowledge of Excel and database/statistical analysis language (SQL or SAS) is a plus Qualifications: Bachelor's in Mathematics, Statistics, Economics, or related field Excellent communication skills, written and oral + years of experience with health care data ora . + college GPA This position will be based out of the Milliman office in Seattle. Applicants must be willing to work onsite in the Milliman office (subject to local COVID related restrictions). Milliman Benefits: At Milliman, we focus on creating an environment that recognizes – and meets – the personal and professional needs of the individual. We offer a competitive benefits package, which includes: Medical, dental, and vision coverage for employees and their families, including eligible domestic partners A (k) plan with matching program Paid Parental Leave up to weeks Profit sharing as a discretionary contribution to employees’ retirement accounts Paid Time Off (PTO) starts accruing on the first day of work and can be used for any reason Adoption assistance Milliman covers % of the premiums for life insurance, AD&D, and both short term and long term disability coverage Flexible spending accounts allow employees to set aside pre tax dollars to pay for dependent care, transportation, and applicable medical needs Teladoc and nurse advice line Best Doctor Medical second opinion, in depth expert medical review, access to expert physicians, critical care support, and referral services at no cost Employee Assistance Program (counseling and support on everyday life issues, financial tools and calculators, discount tax preparation, legal forms, wellness coaching, interactive e learning programs) Computer, software, and mobile phone discount programs ORCA Pass unlimited rides ( Seattle only) Corporate Social Responsibility and Giving programs Milliman is an Equal Opportunity Employer Milliman is fully committed to the maximum utilization of all human resources and the goals of Equal Employment Opportunity and Affirmative Action. We recruit, hire, train, promote, and consider qualified applicants for employment, in all job titles without regard to age, ancestry, citizenship status, color, creed, familial status, genetic information, marital status, national origin, political ideology, race, religion, sex, sexual orientation, gender identity, status as an individual with a disability, or veteran status, including qualified disabled veterans, Armed Forces service medal veterans, recently separated veterans, and active duty wartime or campaign badge veterans; and shall not discriminate against any individual, or any other characteristic protected by law. Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. To be considered for this position, please upload a resume, cover letter, and college transcripts, if applicable. No recruiters, please. Equal Opportunity Employer/ Protected Veterans/ Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. CFR . (c) Qualifications Behaviors Preferred Enthusiastic: Shows intense and eager enjoyment and interest Team Player: Works well as a member of a group Motivations Preferred Self Starter: Inspired to perform without outside help Growth Opportunities: Inspired to perform well by the chance to take on more responsibility Education Required Bachelors or better. Equal Opportunity Employer/ Protected Veterans/ Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. CFR . (c)"
Seattle,Expedia Group,data+analyst,Internship - Data Analyst,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=afd6bc3c60063c05&from=vj&pos=bottom&sjdu=i6xVERweJM_pVUvgf-MzuQzy_Iy_wE8hMlRGyS2UkXJ08oVqtZ0RIDRKfTa3MlRAForO4IGygKDiX2hljVE6G-Syrv7fivc76_QdnrEczJbRMpbU2eBQ2nJiA9W-dWSx&astse=610f775b5c3f1ce7&assa=936,https://indeed.com/rc/clk?jk=afd6bc3c60063c05&fccid=160efb82f2462f14&vjs=3," Are you excited by the opportunity to pioneer the future of travel? Do you want to redefine customer and partner travel experiences? Are you ready to fuel industry change and jump start your career in Data Analytics? Expedia Group paves the way for early career talent to go far, fast with accelerated career advancement, unparalleled access to leadership and a culture of exceptional acceptance. Travel is so much more than simply reaching your destination. Along your journey you will make an immediate impact on re imagining travel by developing insightful reports on traveler trends which drive operational improvements in a way that serves our goal to bring the world within reach. From consulting with internal clients to AB testing hypotheses, there is no shortage of opportunities for technical innovation at Expedia Group – the sky’s the limit! Applications to this opportunity are considered for our Seattle and Austin offices. What You’ll do: You will partner with internal clients using a consultative approach to understand business problems, identifying the team's key challenges, provide/prototype solutions, and help solve using statistical analysis and tools You'll work to define and decipher problems by using available data and making reasonable assumptions and will turn mounds of data into actionable insights to help drive improvements for customers, for the business, and for our operations Identify data sources, and correlate data across them, to develop insights that drive operational improvements You will have the ability to support, influence and challenge business decisions with data and timely & insightful analyses You will communicate analysis findings and recommendations to various levels including organization leadership in a clear, concise, and influential manner You will become a data guru you'll become the point of contact for data questions and insights You'll turn data based findings and insights into hypotheses for AB testing through analytical rigor You'll monitor engagement and conversion trends across the network, identify breaks in trends, understand underlying drivers, and surface opportunities and threats You'll develop self service reporting for product and development teams, by collecting and integrating data from various sources, including web analytics tools and internal databases Present a holistic analysis to analytics and business leadership Who You are: Currently pursuing a bachelor’s or master’s degree in an analytical field such as: Computer Science, Marketing Science, Statistics, Mathematics, Analytics, Economics, Business Graduating in December or Spring . or above minimum cumulative G.P.A with prior internship, related projects or leadership experience Demonstrated experience solving problems with data querying using SQL, statistics and modelling in classes, projects or prior work experience Strong analytical skills, self motivation and the capacity to work under pressure and tight deadlines Skills in Tableau, R, Python are a bonus for data transformation, analysis and visualization Your internship will include: Dedicated support from your manager and mentor for the summer Social, community and learning events Relocation assistance, if eligible Hotel discounts Some exciting projects interns have worked on: Season Occupancy Tableau Report: Our intern built a report that allows easy access to understand occupancy by top markets. This helps partner success and marketing focus on which markets they need to procure additional listings Traveler conversion Tableau analysis: Another intern built a report that shows traveler conversion by market for length of stay and Leadtime. This allowed our product team to narrow in on specific traveler use cases that needed product improvement to drive conversion Partner Acceptance Tableau analysis: We asked our intern to build a report that showed partner acceptance by market for length of stay and Leadtime. This allowed our partner product team to narrow in on specific traveler use cases that needed product improvement to drive partner acceptance Identify peak events for Market Maker: This report systematically identified the days in all flywheel markets that had the highest ADR, and the event that occurred that day. This data will be input into Market Maker and allow for smarter pricing, helping to increase Net Booked Value New Customer Market Profiling: An intern built a methodology to define the customer lifetime value for new customers acquired in specific travel markets and used unsupervised machine learning clustering to define the most valuable clusters of markets to be used in prioritizing acquisition campaigns. You’ve Applied, Now What? We will review your application and if you are considered a fit, we will invite you to take an online assessment. Those who pass the assessment will be invited for a final interview. Intern Program Dates: To ensure a consistent experience, we offer one internship start date. June th through August th Why Join Us? Expedia Group recognizes our success is dependent on the success of our people. We are a global travel platform, made up of the most knowledgeable, passionate, and creative people in our business. Our brands recognize the power of travel to break down barriers and bring the world within reach – that responsibility inspires us to be the place where exceptional people want to do their best work, and to provide them the tools to do so. Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares. If you have a hunger to make a difference with one of the most loved brands in the world and to work in the dynamic travel industry, this is the job for you. Our family of travel brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Egencia®, trivago®, Vrbo®, Orbitz®, Travelocity®, Wotif®, ebookers®, Cheap Tickets®, Hotwire®, Expedia® Media Solutions, Car Rentals.com™, Expedia Local Expert®, Expedia Cruises™ and Silver Rail Technologies, Inc. For more information, visit www.expediagroup.com. Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I to confirm work authorization."
