city,company_name,category,job_title,qualified,tech_compatible,major_compatible,app_link,indeed_link,description
Seattle,Allstate,data+scientist,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLH0BMQoDn-yw6Urt952hBm1JLFZ7WpBxND2cMIOjOqdmupiC_ZwOjlpaauaQKSrqxN4JIxysYN7HcyqPl39SA26lbnswEotFaV6-DjlHZi3nLGrYLY4YymrGhrc81y7Y4b5CIHTEHTR2AjLkr4gYSV2Vni4p81uizW_DsDS0b5IdtipxIFbItdG5Rl3kXKw6S51oYlZ0_jqFdFYPQBAScmn2dirKkQUyMqE0eH391J9g_RM6s48dj0bXNDCNsyf6jNfBk2sjzLP1KHy0nQqCtdudyCttfqsLj3hM0JM3VUG3dCvhVhwhYpZzItik-JHUcDZmzSkGRl8FPJu31EH61A7xvCyTanxqBHWylTPwDpZJojACFvKedAjpMibrnRD5xQ9q_670s3Ruo90sYOWKxniN0lOlcVU_iDEtiLYBFJJEzReL6sfB1qiHax65KFYtoczWsssHPUI-rGhWHBZQJFzeB2zjshvGzgu-UxjNnvn-jSdltHk0LotwWx7P2T9vZs_W0WNVg4j1E_Ot4rO_FfQ3lwK2kzKYZO3n0bw5fyCP8SlJkMJoM18ShMxX9aFQO1NE02IOOIPqDezdkmGOisY9FT2hEzH-MUSE4Os2ZdM4e7ExkYxdOhTSKwo1ahZsCVwEwnySgnsa8ElFeO_Hh1-MTT3J4U-gT9u5jn34ApGxodNijxp3Hs_RUU9rgEp6iHkFlHfeJ6p8uSUq6kYhnCYc_UNljXMI2tukwYqYeFTtU9wsKQfXiVuTZwP2LRhnXp2wP7mIB2bBzKSl24zg4UMPaUqtVEer3PGkHSu1n09eLaJSEm8WLsVF_cA3shpv3uXGhgfJD7UXzBbp0mSFZVKgD9aPsqoBW0-HANuagrN5OfTjvUvdCmTGuRSlfOc_b7qqSDo31ITzaabeebzNSDgAv4ABrpWcUGKLWTs2efoqyreloL9Iizdqz3T9Omt9AOHZT8BbUaJmoDCGmfLLBvyndoRM4PixgvNpIRc8LZQZK_CdI8V5LkvB1WTqj93NK37OTpPDWDqe5fxndsaNL0M4IKiuNbk3adfM1b4OHecQ9_yl1fUTqerxNLBabNpLV3QJ7APanAC7JKcMzelaThSyf4k3Ca4H99lyeoW65jzp_JnVjdrn8Z8gVsvchXBK0jIWnEHklTWkRnbnwvMeqzxNcLjxnnu-8-i-gzi8N_xgKfetHIOViBG-JozSmHV7CTnI-tR1sHQ==&p=0&fvj=0&vjs=3,invalid URL
San+Francisco,Kelly,data+scientist,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6qFSVCaa8tXn-rJ3OcXif2lPyFmwsE2iZBGE4YLg1gz3DzxANTQL2jOO96VqvDuVjhr-RzBbOfOZ1A8vE_uOOdaiA-XY1Kygb3jDDfXX1jm6jWZ_yxqn5QiJJA48-R05NIkDxQfIsWHqHY7O3uaUYco-fYp-ZgQlCIeU_DBk_4O3foznxxkZ_GUdE7-fgXQreVwCkgO0OxbdW2qzWezFCbJuUED1wXju5cwiSqacuQBN0k2SboEvz7-MgbASjr5H6CHds1OUZdXfxyXNHlegOgGWkViXMT3u6etEVsRgsjnOcYl11M6gcjhpD3CDkgBfMjD4rHOWLImVqFSBkAlnu1t7XVwVKtbDxx6PbAuXhcefcz4oZh7EOSt7E_5ZDhrfRRSLQhv_hZhYP0gvN86GWdXAL3_SQbC7oyj2P2RuMFO4PrIZAMvKtyX-JUuIg5rYmuBMii4Xp2IrMiZ_zEVAqig91LKE_OE25LoN72KvYmWeE05Ugs9aOVaeWi_4gzd-GmQPps_36g-22iqlhO3PpedyNBbRDFpw4Qbjc_wCpOCaFOkYJl-8RK-JBoFW1_1DL-mB0FI1je3q-qqef0R-zyIXbpQzq1k9vNl5PLWpgjEVGtCm8-YdKdNmFPDgd-FfCde6ZhF2HNKjwSeXuADCzMywlwxxLGMGG8u5NI4hLnnmfdN8XYbvyWkzSRBaOWlSFo7mY-mBAGtIuHo0RSJGi81BJ5eViTgYB7oVuCU7TqSCV_YbhC3MRq1pqYyKUPb5h--F1HHf0hFa7ShLcfMy-OcbGcq2PlnR7fRDzWD9ZWy0gJaVTX99eQjeMSuj6ZxHVLNIRr_vdeIzcU2TPpDlTHP4XAonE6qbFVbDG9VYk6afW7W_5kYmhJFKL7AGeH1mmQx1efN7tdz7hvdR8wUbAXbjNJgWBoRcdmQX-hL2TVk2cEkpoynvJPbu9FioWccQkUrYfmA_oAGrq8aM3my6RTAXMdbp2bnwottO54h7Pawn1u4o2zUtRXg7ds1LxzBxxkN1Tk9E3yeVO25cL3y8YMYPkH8ZtnWRpX-e97qp_uuTJ-P5l43sjAL-e2L6tMVjiiaP8Xop3q21z-BJoVI32RKXnuasT41ssacH83a5Zaw6kqhmazONiGU6iIaHtWeg=&p=11&fvj=0&vjs=3,invalid URL
Boston,Kelly,data+scientist,invalid URL,invalid URL,invalid URL,invalid URL,invalid URL,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6qFSVCaa8tXn-rJ3OcXif2lPyFmwsE2iZBGE4YLg1gz3DzxANTQL26tb-SQ4b-KAevgqyIwkfEWuROQpeEGqNvnDjsbbqa3T9oRWpy70lsAs7USAm1AldHAfq0aqQ323MfNGcmmgQARMWGzvWeFFSPsP5xTa5IgtCSOA14cjRgnmly98P60FS15pwTmYoChiReMwPSNyK_OJZqpYSE4xuQD-0EXoeJiA6EvQPZ2LNByrx7d0m91m5A1V7cEGLwdv-mGrC_wrMKOXaDCakc76LficY83K3L6v0tj3YlTCSIUQiOlXh7V8RqSYF9tWU65zKeG2Qj-lbo5_BEoCl7SzYH73EpZUZs1wCormtKIn6SQA7r6sKrHgidEAh2QMvStryopCCekDW2Td0P-gFHgSSb5iHCyLrfOyFQYX9ANyY4vkQQgtFOGa53EevB8JH64pO-TPRYYBsLmz8MGVTouXMzCyZWodEkNCVwgrLPdCNbftt3QDlLvo0uE8bJmKrhlDY0DyraqRO8xsakOCCRqAQWA9eGWlX6YlivHZcrlq8Ppl-Ynnhs8iwqmhRUiQiGTjmY0bPWs-2a1Id8EkPAxdIIvf-D5DZPSR74iDbIHFueWkN5bDx5hef2YCe9rmxQ3id-K2jmy04n4MWGknzma9-7iAGf4T61ELa8tyU2X4O14ZwCtLQv9dqBWb_J_lgolocAc6gXf-4evG-bTQMjTNmuHL0jn_5H2zbQ0ZhK_9DSq1HVUtGZrcIcxIlORYvphIdyR4fleUhtqX6wmNZCt0GM_B4NaoWsVAF3KVQDYCc3nl0yKkAzO19RPGzqvxKQnFFHVhriQzus4pRjZ9EeOcSIYC1ZxHqmRg_InWSejrq3LrqKaotPunbtTrGXHO5R7RGfJgDUTmBx6-1RNJqzRYIHBjz5vSJJmDzpmPHW1fLGpSPvZFc_ZzNGEdtavRqiVpjjSolf93Jth8AQPfjNgDZaP0TwWanQCaYRWiTLOYPPNox419PwnUmsTaWh-gUybsSFrN3lCfqRzhsNMM2hL8d&p=10&fvj=0&vjs=3,invalid URL
Seattle,Wish,data+scientist,"Sr. Data Scientist, Consumer Behavior",Need YOE,True,True,https://indeed.com/rc/clk?jk=6f3136dfb510c6b3&fccid=617690ce838507f3&vjs=3,https://indeed.com/rc/clk?jk=6f3136dfb510c6b3&fccid=617690ce838507f3&vjs=3," Company Description Wish is a mobile e commerce platform that flips traditional shopping on its head. We connect hundreds of millions of people with the widest selection of delightful, surprising, and—most importantly—affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than countries around the world discover new products. For our over million merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market. We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place. Job Description At Wish, our Data Science & Engineering team is composed of Data Scientists, Data Analysts & Data Engineers who focus on centralizing corporate data in order to gain insights, knowledge and scalability, that empower a proactive and rigorous analysis of key business indicators. Our mission is to derive wisdom from data via the application of Data Science. Wish has exciting opportunities for talented Data Scientists on our Buyer Side ( Product) data science team. This is a unique opportunity to experiment with a million strong consumer base that draws + million MAU. Successful candidates will have extensive backgrounds in quantitative fields and significant experience with experiment design and execution at scale. #LI WISHXDS # Hiring Now What you'll be doing: Proactively develop insights and models to help us understand user behavior, identify opportunities and make better product decisions. Lead the design, analysis, and interpretation of experiments that shape decision making across the company Propose, test and implement new experimentation methodologies, causal inference approaches that can sharpen our product decision making process. Research, identify and implement new frameworks to better measure success of our products and shape our strategy Mentor junior data scientists on how to use more advanced methods and solve business problems Qualifications Advanced degree in a quantitative field. A minimum of years of Data Science experience in technology or research industry. Proficient in Python or R Deep statistical skills utilized in A/B testing, analyzing observational data, and modeling An advanced ability to translate business questions into analysis and experiments that yield business insights and shape the company strategy Preferred Qualifications: Demonstrated track record of successful projects in applying quantitative techniques to improve a product or business. + years work experience in technology or research industry. Domain expert in one of the fields: statistics, machine learning, optimization, and economics. Additional Information Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records. Individuals applying for positions at Wish, including California residents, can see our privacy policy here."
Seattle,Navigating Cancer,data+scientist,Healthcare Data Scientist,Need YOE,True,True,https://indeed.com/rc/clk?jk=2376f29c37064444&fccid=73035bd99401b309&vjs=3,https://indeed.com/rc/clk?jk=2376f29c37064444&fccid=73035bd99401b309&vjs=3," At Navigating Cancer, our mission is to improve the lives of cancer patients and those who care for them. We enable oncology clinics to provide personalized, efficient care to every patient by providing relevant educational materials, giving the whole care team visibility to patient issues and needs, and delivering useful insights so that care teams can identify and resolve gaps in care. Through our platform, patients receive a holistic service offering to support their individual goals and needs. In order to advance our mission to – “ Enable Personalized Care for Every Cancer Patient,” we are seeking candidates for the following role: Job Summary: Navigating Cancer is expanding its data analytics and science team to continue to build our world class patient reported outcomes (PRO) data set. In this role, you will be responsible for statistical analysis related to our PRO/EHR data strategy, drive technical execution, and help us create a best in class data science capability. You will work with various stakeholders both inside and outside the organization to execute on our research initiatives. Responsibilities: Collaborate with clinicians, researchers, product managers, and engineers to define and clarify scientific research questions, develop statistical analysis plans, and help ensure data quality standards for observational research studies Develop innovative solutions and approaches to turn raw data from various sources (EHR, PRO, claims) into research grade variables Develop visual analytics to enable self service applications for internal and external stakeholders Provide clear technical input, options, and directions to strategic decisions for research data strategy and best practices for real world data utilization Provide mentorship and training across the research organization toward novel approaches for statistical modeling, data mining, and/or machine learning Requirements: Advanced degree ( Masters, PhD) in a quantitative field and/or minimum of years in analytical and technical role (statistics / biostatistics, epidemiology, bioinformatics) Proficiency in data science tools and languages (R/ Python) Experience in real world evidence and familiarity with health economics/epidemiology & oncology data Experience with clinical data standards (rxnorm, snomed, loinc codes) and medical terminologies used in healthcare data Experience with EHR, disease registries, and insurance claims databases Understanding of how to build sustainable data products Excellent written and verbal communication skills Ability to work cross functionally and collaborate with internal and external stakeholders Self starter with the ability to thrive in a fast paced, ambiguous environment. Must be highly motivated with the desire to learn and teach new skills, systems, and processes Bonus Points External outreach or education ( Co authorship on one or more publications in clinical outcomes research, giving talks, open source contributions) Application of machine learning and artificial intelligence techniques with real world datasets Oncology specific practical / clinical experience Why work here? We support thousands of healthcare professionals and tens of thousands of cancer patients every day. We help cancer patients get better care—and consider this a valuable and meaningful reason to come to work everyday. You get to work with leading technology, wear many hats, and contribute every day to our business success! Join us to help us grow and establish ourselves as a world class business. We are lean, agile, and lightweight. We believe in each other, believe in our work, and have fun along the way. This position is full time, in our downtown Seattle office.* We offer competitive compensation, benefits and a fantastic work environment: Employer subsidized medical, dental and vision K + ROTH option Paid maternity/ paternity leave policyORCA passes for commuting Educational stipend Central location equidistant from Pike Place Market and Pioneer Square Company sponsored lunch every Monday and fully stocked kitchen ** Please note that due to the COVID pandemic, all roles at Navigating Cancer are currently remote based. Our Values: Work with Purpose. Work together to improve the lives of cancer patients. Collaborate with team members, have passion, enthusiasm and mission for the work that we do. Act with Integrity. Communicate openly, be honest, follow through. Be Agile. Discover creative solutions, welcome change. Adapt and pursue continuous improvement. Seek Simplicity. Reduce complexity for our customers and patients. Simplify our products, our processes and our messages. Strive for Growth. Constantly strive to achieve personal, professional, and company goals. Continuous reflection, learning and achievement Powered by JazzHR lXRTQYLF W"
Seattle,NCSOFT,data+scientist,Data Scientist,Need YOE,True,True,https://indeed.com/rc/clk?jk=a0e53f35e4461495&fccid=a1e4e21b1f33cf40&vjs=3,https://indeed.com/rc/clk?jk=a0e53f35e4461495&fccid=a1e4e21b1f33cf40&vjs=3,"WHO WE ARE NCSOFT is a premiere digital entertainment company and global publisher with worldwide locations and more than , employees focused on bringing extraordinary games to life for millions of fans around the world. Established in and headquartered in Seoul, South Korea, we quickly became a key leader in online games. Best known for critically acclaimed franchises including Lineage, Aion, Guild Wars, and Blade & Soul, NCSOFT is also one of the world's top mobile developers with Lineage M occupying the # grossing revenue slot on Google Play. Our core goal is making people in this world happier by delivering games that entertain a globally connected audience has remained the same. We are looking for a talented data scientist to uncover hidden insights and predict what will delight our players. You feel comfortable working with all types of data, both big and small. This role will help the game team create novel models to understand player behavior, predict what will happen next, refine our A/B testing practices and visualize what is going on in game. Expect to learn a lot and to teach us new skills as well! WHY JOIN THE ANALYTICS TEAM? You have a burning curiosity. Being a successful data analyst or data scientist is all about having a question and going digging for the answer. A good analyst has an innate need to explore and understand the world around them. You're fascinated by all the different ways people play games. Millions of people play our games in all sorts of different ways, and they all need to be able to have fun. Our job is understanding all those different playstyles so we can make the game work for everyone. You want to be our players' champion. Once we understand what's going on in the data, the next step is using that knowledge to make the game better for our players. We want analysts who can be passionate advocates for the data and the player experience it represents. WHAT YOU'LL DO Create standardized models to explain player behavior that can scale across games Define experiments to test your hypotheses Build models that predict future player behavior and game success and work with game teams to validate the models Assist designers and product managers by using data to evaluate design hypotheses Use data to optimize pricing and game economy strategies Build tools to leverage data and enable the studio to make more data driven decisions WHAT YOU'LL NEED TO BE SUCCESSFUL Bachelor's degree in quantitative field including mathematics, statistics, economics, physics, etc. years of experience as a data scientist or similar Strong SQL programming skills Proficient scripting with at least one data processing/statistical language (eg. R, Python, MATLAB) Knowledge of statistical techniques and concepts (eg. regression, properties of distributions, statistical tests and proper usage, etc.) Strong communication skills Strong product focused problem solving ability PLUSES! Graduate degree or above Previous game industry experience Experience with data visualization tools (eg. Tableau) or coding ( Shiny or D ) Machine learning experience and knowledge"
Seattle,Microsoft,data+scientist,Full Time Opportunities for PhD Students or Recent Graduates...,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=97ba8c5ac004f4e4&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiFtttB4E74QsbS7bVaWeKHIv02HSGSZoWequxOEmCHqw&astse=65da46127d40f56d&assa=6551,https://indeed.com/rc/clk?jk=97ba8c5ac004f4e4&fccid=734cb5a01ee60f80&vjs=3," Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data driven culture within Microsoft. Do you want to work on a meaningful and impactful project and make a difference? Are you willing to learn from others and open to new ideas? Do you want to support others to succeed and operate in a highly collaborative and global environment? If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job. Read on to learn more about opportunities and apply online! Responsibilities As a Data Scientist, you will formulate approaches to solve problems using well defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve. You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results. Qualifications Currently has or is in the process of obtaining their PhD degree in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant focused field Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc. Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#. Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS. Some experience and or project course work with product and service telemetry systems. Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal. Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged. Passion to learn from your peers, manager, and other stakeholders in the Data Science domain. Ability to interact with peers and stakeholders to drive product and business impact. Strong interpersonal and communications skills. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Seattle,Facebook,data+scientist,Privacy Data Science Manager,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=97ee30557b3b9076&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgbBuBtXM82qd6CC68tUuAh-BhdrQogdzP3xc9-PmOQTQ&astse=ea42ee1217bd5662&assa=1513,https://indeed.com/rc/clk?jk=97ee30557b3b9076&fccid=1639254ea84748b5&vjs=3," Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities we're just getting started. Facebook, Inc. is looking for a seasoned leader to head our Privacy Experiences Data Science team. We are looking for someone who is a talented leader with technical depth, strong product sense and a passion for using data responsibly to honor people’s privacy. You will drive data science partnerships with our internal and external privacy experience product managers, designers, researchers and engineers. You will have an opportunity to establish a roadmap and vision as the team understands and builds intuitive privacy experiences across our family of products. We will rely on your leadership to expand our methodologies, maximize the actionable insights of our data, and grow a team that will use these core assets to have a big impact on the company’s core mission. This includes building industry leading privacy experiences, collaborating with engineering partners to integrate privacy fundamentals deep into Facebook’s technical stack, and developing best practices for privacy preserving data science. This role will provide you with an opportunity to develop a data science engagement model that scales globally. Build and manage a team of the very top talent the brightest minds in analytics, data science and data engineering with the ability to not only keep up with, but also pioneer, in this space. Collaborate with and influence leadership so that your team’s work directly impacts company strategy and direction. Develop new techniques and data that will enable answering previously unanswerable and new questions. Develop deep partnerships with engineering and product teams to deliver on major cross functional measurements, testing, and modeling efforts. Communicate effectively to all levels of the organization, including executives. Provide success in partnering teams with dramatically varying backgrounds, from the highly technical to the highly creative. An advanced degree in a quantitative field computer science, statistics, operations research, economics, etc. Experience supporting consumer facing products. + years of experience in Analytics/ Data Science/ Data Engineering or Quantitative fields, both as an individual contributor and managing teams. Experience designing a data science roadmap and executing the vision behind it. Experience instilling a culture of ownership, collaboration, and results. Track record of recruiting talent in data engineering, analytics, and data science. Track record of delivering analytics products and insights, and influencing product and engineering decisions. Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations ext@fb.com."
Seattle,Convoy,data+scientist,Data Scientist,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=2ed7f03ac9341ce2&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgWeN4X5X6YYbmuzdUfAlTBMIfcMu539kP3i1FMxIq2rA&astse=a626591594781590&assa=8236,https://indeed.com/rc/clk?jk=2ed7f03ac9341ce2&fccid=4514e98bb41669d2&vjs=3," Convoy is transforming the $ billion trucking industry. Our mission is to transport the world with endless capacity and zero waste. The industry is huge and so is the opportunity to change the way freight moves. The next time you’re out driving and see an wheeler on the road, that truck is empty % of the time. When big trucks drive empty, they throw unnecessary CO into the atmosphere. In fact, empty trucks generate more than million metric tons of wasted carbon emissions every year. At Convoy, our digital freight network helps reduce those empty miles and cut carbon waste by nearly half. This is your opportunity to collaborate with an incredible group of people and help transform the freight industry. Join Convoy and help move the world forward. We’re looking for someone who has: Minimum of + years of industry experience at top tier companies in Consulting, Business Intelligence, Data Scientist, or Analytics roles Expert SQL fluency ETL pipeline experience Experience with scientific/statistical languages such as Python or R Experience with statistical data analysis and modeling Ability to break down high level business problems into concrete analytical solutions Strong communication and keen attention to detail Nice to haves: MS in economics, statistics, computer science, operations research, engineering, a natural science or equivalent quantitative subject Strong examples of your outputs influencing product or engineering road map Convoy is an equal opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!"
Seattle,Convoy,data+scientist,Senior Data Scientist - Operations,Need YOE,True,True,https://www.indeed.com/rc/clk?jk=c10d090aa7f5fae5&from=vj&pos=bottom&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhnQ1wt_xu67im7T6GsFfTUpsjbKTpre7P5gvPU7rdPPQ&astse=0ba6c418472225ba&assa=8385,https://indeed.com/rc/clk?jk=c10d090aa7f5fae5&fccid=4514e98bb41669d2&vjs=3," Who we are: Convoy is transforming the $ billion trucking industry. Our mission is to transport the world with endless capacity and zero waste. The industry is huge and so is the opportunity to change the way freight moves. The next time you’re out driving and see an wheeler on the road, that truck is empty % of the time. When big trucks drive empty, they throw unnecessary CO into the atmosphere. In fact, empty trucks generate more than million metric tons of wasted carbon emissions every year. At Convoy, our digital freight network helps reduce those empty miles and cut carbon waste by nearly half. This is your opportunity to collaborate with an incredible group of people and help transform the freight industry. Join Convoy and help move the world forward! About You: We build the models that power freight pricing, shipment offer relevance, auction bidding strategy, and other core services. The breadth of the problems space is huge, spanning machine learning, optimization, metric definition, econometrics, and prediction domains. And we have only begun to dig into the difficult and diverse problems in our two sided marketplace. You Will: At Convoy you will be expected to work autonomously and own your domain end to end. You will collaborate with Operations and other business leaders, research scientists, and product managers across the company. This role sits at the intersection of data science and operations, on a team that leverages data insights to maximize the impact of our operations teams by defining key metrics, reporting on KP Is, developing optimal staffing models, and improving process through causal inference. Working closely with Product and Operations leaders, you’ll significantly influence our roadmap to deliver world class service to our customers as efficiently as possible. We're looking for someone who has: Minimum of + years of industry experience in Consulting, Business Intelligence, Data Scientist, or Analytics roles SQL fluency ETL pipeline experience Experience with scientific/statistical languages such as R or Python Ability to break down high level business problems into concrete analytical solutions Strong communication and utmost attention to detail BS or MS in economics, statistics, computer science, operations research, engineering, a natural science or equivalent quantitative subject Candidates must be eligible to work in the U.S. at our Seattle HQ. Convoy is an equal opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you! Convoy is an equal opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!"
